gene	gencodeId	n_transcripts	max_median	second_median	multi_isoform_normal
CEACAM1	ENSG00000079385.21	14	7.78000020980835	5.650000095367432	True
CELF2	ENSG00000048740.18	17	2.369999885559082	1.809999942779541	True
CENPE	ENSG00000138778.11	8	0.1599999964237213	0.0	False
CEP57L1	ENSG00000183137.14	24	1.2599999904632568	0.6800000071525574	False
CFLAR	ENSG00000003402.19	25	18.360000610351562	16.56999969482422	True
CHEK2	ENSG00000183765.20	24	1.4900000095367432	1.3600000143051147	True
CHMP3	ENSG00000115561.15	9	34.220001220703125	15.640000343322754	True
CHMP7	ENSG00000147457.13	10	14.630000114440918	3.559999942779541	True
CKAP2	ENSG00000136108.14	7	1.2300000190734863	0.8799999952316284	False
CLEC1A	ENSG00000150048.10	5	4.53000020980835	0.6299999952316284	False
CLK2	ENSG00000176444.18	7	19.360000610351562	18.729999542236328	True
CLSTN1	ENSG00000171603.16	5	56.689998626708984	29.40999984741211	True
CLU	ENSG00000120885.21	17	223.25999450683594	217.72000122070312	True
COASY	ENSG00000068120.14	14	21.899999618530273	12.829999923706055	True
COL12A1	ENSG00000111799.20	11	12.979999542236328	2.5899999141693115	True
COL18A1	ENSG00000182871.14	7	40.06999969482422	38.90999984741211	True
COL4A5	ENSG00000188153.12	10	11.800000190734863	11.779999732971191	True
COL6A3	ENSG00000163359.15	14	21.06999969482422	16.90999984741211	True
COMMD1	ENSG00000173163.10	8	15.369999885559082	11.359999656677246	True
COPS7A	ENSG00000111652.9	22	16.8799991607666	7.269999980926514	True
COPS7B	ENSG00000144524.17	25	15.539999961853027	7.190000057220459	True
CRAT	ENSG00000095321.16	9	36.380001068115234	4.059999942779541	True
CREB3L4	ENSG00000143578.15	13	27.420000076293945	23.93000030517578	True
CSAG2	ENSG00000268902.3	4	0.0	0.0	False
CSDE1	ENSG00000009307.15	18	122.16000366210938	12.5	True
CSPP1	ENSG00000104218.14	7	3.680000066757202	0.3400000035762787	False
CTNNA1	ENSG00000044115.20	44	61.91999816894531	25.579999923706055	True
CTNND1	ENSG00000198561.13	38	27.889999389648438	10.960000038146973	True
CTPS1	ENSG00000171793.13	12	16.149999618530273	6.099999904632568	True
CTTN	ENSG00000085733.15	15	79.19000244140625	29.8700008392334	True
